name,address,neighborhood,borough,venue_type,cuisine,deal_details,deal_type,website,nyctourism_page
Bless bar & kitchen,"Location Bless Bar & Kitchen  3496 broadway, New York, New York, 10031  GET DIRECTIONS",,,Restaurants,American (Traditional),Receive a limited-edition World Cup commemorative cup with eligible purchase.,Limited Edition Cup; $26 Offers,,https://www.nyctourism.com/offers/fbws-bless-bar-kitchen
NYC Ferry,"Location NYC Ferry  63 Flushing Avenue, Building 86, suite 101, Brooklyn, New York, 11226  GET DIRECTIONS",,,Restaurants,Bars/Cocktails,Receive a free collectible souvenir cup with purchase of an alcoholic beverage on any NYC Ferry.,Limited Edition Cup,,https://www.nyctourism.com/offers/fbws-nyc-ferry
Sugar Monk,"Location Sugar Monk  2292 Frederick Douglass Blvd., New York, NY 10027  GET DIRECTIONS",,,Restaurants,American (New),Grab a drink and a small bite for just $26 at this Harlem cocktail bar during World Cup 2026.,Limited Edition Cup; $26 Offers,https://sugarmonklounge.com,https://www.nyctourism.com/offers/fbws-sugar-monk
Bitter Monk,"Location Bitter Monk  68 34th St., (Building No. 6, 2/F), Industry City, Brooklyn, NY 11232  GET DIRECTIONS",,Brooklyn,Restaurants,American (New),Enjoy a small dish and glass of house-made liqueur at this Brooklyn cocktail bar for $26 through World Cup 2026.,Limited Edition Cup; $26 Offers,https://www.bittermonk.com,https://www.nyctourism.com/offers/fbws-bitter-monk
Charm Bar & Restaurant,"Location Charm Bar & Restaurant  448 Dean St., Brooklyn, NY, 11217  GET DIRECTIONS",,Brooklyn,Restaurants,Caribbean,Enjoy rasta pasta and a soft drink for $26 and receive a limited-edition commemorative souvenir cup.,Limited Edition Cup,https://charmbarrestaurant.com,https://www.nyctourism.com/offers/fbws-charm-bar-and-restaurant
Franklin Park,"Location Franklin Park  618 St Johns Pl., Brooklyn, New York 11238  GET DIRECTIONS",,Brooklyn,Restaurants,American (Traditional),This Brooklyn bar is offering free limited-edition cups with eligible purchases during the World Cup.,Limited Edition Cup,https://www.franklinparkbk.com,https://www.nyctourism.com/offers/fbws-franklin-park
The Poutine Guy,"Location The Poutine Guy  at Other Half Brewing, 195 Centre St., Brooklyn, NY 11231  GET DIRECTIONS",,Brooklyn,Restaurants,Cajun/Creole,Grab special World Cup meal deals at this poutine food truck outside Other Half Brewing in Brooklyn.,Limited Edition Cup; $26 Offers,,https://www.nyctourism.com/offers/fbws-the-poutine-guy
Tom’s Restaurant,"Location Tom’s Restaurant  782 Washington Avenue, Brooklyn, NY, 11238  GET DIRECTIONS",,Brooklyn,Restaurants,American (Traditional),"Receive a World Cup limited-edition cup with an eligible purchase. Enjoy a burger, fries and a drink for $26 during the World Cup.",Limited Edition Cup; $26 Offers,,https://www.nyctourism.com/offers/fbws-toms-restaurant
Wah Lung Restaurant,"Location Wah Lung Restaurant  1932 Kings Hwy., Brooklyn, NY 11229  GET DIRECTIONS",,Brooklyn,Restaurants,Chinese,Get a free souvenir cup with eligible purchases at this Chinese restaurant.,Limited Edition Cup,,https://www.nyctourism.com/offers/fbws-wah-lung-restaurant
YaraNYC,"Location YaraNYC  319 East 53 rd st., Manhattan, NY, 10022  GET DIRECTIONS",,Brooklyn,Restaurants,Mediterranean,"Enjoy the Yara World Cup Combo: Your choice of sandwich and drink, including a FIFA cocktail, for $26!",Limited Edition Cup; $26 Offers,,https://www.nyctourism.com/offers/fbws-yaranyc
