name,address,neighborhood,borough,venue_type,cuisine,deal_details,deal_type,fan_countries,website,nyctourism_page,watchworldcup_url,sources
Brooklyn Chop House,"150 Nassau Street, New York, NY, 10038",,Manhattan,Restaurants,,Beverage and Bite Combination.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-brooklyn-chop-house,,fbws
Olivio Bakery & Coffee,"New York, NY",,Manhattan,Restaurants,Coffeehouse,"Enjoy a Turkey Focaccia sandwich or Mozzarella Ciabatta, large café latte and chocolate chip cookie for $26, plus a FIFA World Cup cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-olivio-bakery-coffee,,fbws
Turkish Bazaar,"New York, NY",,Manhattan,Restaurants,,Receive a World Cup limited-edition cup with the purchase of an iced coffee.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-turkish-bazaar,,fbws
Statue City Cruises,"Battery Park/Ferry Slip, Manhattan, NY, 10004",Battery Park City,Manhattan,Attractions & Tours,,"Enjoy one of New York's most iconic experiences for only $26 with Statue City Cruises,  the only way to step onto Liberty Island and Ellis Island.",$26 Offers,,https://statuecitycruises.com/tickets,https://www.nyctourism.com/offers/fbws-castle-clinton-national-monument,,fbws
Statue City Cruises,"Battery Park/Ferry Slip, Manhattan, NY, 10004",Battery Park City,Manhattan,Restaurants,American (Traditional),Take the $26 ferry to Liberty and Ellis islands during World Cup 2026 and score a free souvenir cup.,Limited Edition Cup; $26 Offers,,https://statuecitycruises.com,https://www.nyctourism.com/offers/fbws-statue-city-cruises,,fbws
West Bank Gourmet Deli,"New York, NY",Battery Park City,Manhattan,Restaurants,Delicatessen,Enjoy $26 lunch deals at this Battery Park deli throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://westbankdeli.com,https://www.nyctourism.com/offers/fbws-west-bank-gourmet-deli,,fbws
Central Park Boathouse,"72nd St + Park Drive North, New York, NY, 10021",Central Park,Manhattan,Restaurants,Continental,"For $26, guests will receive one toasted sandwich of their choice from our café menu, one soda, and a limited-edition Five Boroughs Manhattan cup.",Limited Edition Cup; $26 Offers,,https://centralparkboathouse.com,https://www.nyctourism.com/offers/fbws-legends-global,,fbws
Central Park Tavern,"New York, NY",Central Park,Manhattan,Restaurants,American (New),Pre-Fix Menu and Drink combo $26,Limited Edition Cup; $26 Offers,England; United States,https://www.centralparktavern.com,https://www.nyctourism.com/offers/fbws-central-park-tavern,https://watchworldcup.nyc/venues/central-park-tavern,fbws+wwc
Al Volo - Pier 57,"New York, NY",Chelsea,Manhattan,Restaurants,Italian,Visit Al Volo Italian food counter in Pier 57 for $26 meal specials throughout the World Cup.,Limited Edition Cup; $26 Offers,,https://alvolonyc.com,https://www.nyctourism.com/offers/fbws-al-volo-pier-57,,fbws
Ammi,"New York, NY",Chelsea,Manhattan,Restaurants,Indian,Sample World Cup special food deals at this Indian restaurant in Pier 57 this summer.,Limited Edition Cup; $26 Offers,,https://www.ammi.nyc,https://www.nyctourism.com/offers/fbws-ammi,,fbws
Barcade,"New York, NY",Chelsea,Manhattan,Restaurants,Bars/Cocktails,"Any sandwich plate,  $11 drink or beer, and $2 tokens for $26",Limited Edition Cup; $26 Offers,,https://barcade.com/chelsea,https://www.nyctourism.com/offers/fbws-barcade,,fbws
Bessou,"New York, NY",Chelsea,Manhattan,Restaurants,Japanese / Sushi,Receive a complimentary limited-edition cup with eligible purchases at this Japanese restaurant.,Limited Edition Cup; $26 Offers,,https://bessou.nyc,https://www.nyctourism.com/offers/fbws-bessou-pier-57,,fbws
Bird & Branch Pier 57,"New York, NY",Chelsea,Manhattan,Restaurants,Coffeehouse,Get a collectible cup with every eligible purchase.,Limited Edition Cup,,https://birdandbranch.com/,https://www.nyctourism.com/offers/fbws-bird-branch-pier-57,,fbws
Chelsea Market,"75 Ninth Ave., Manhattan, NY, 10011",Chelsea,Manhattan,Restaurants,Asian Fusion; American (New); Dessert,Grab a World Cup commemorative cup at Chelsea Market's food and drink vendors with eligible purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-chelsea-market,,fbws
Chote Miya,"New York, NY",Chelsea,Manhattan,Restaurants,Indian,Visit this Indian street food specialist in Chelsea Market for special $26 deals during World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.chotemiya.com,https://www.nyctourism.com/offers/fbws-chote-miya,,fbws
Dickson's Farmstand Meats at Chelsea Market,"75 Ninth Ave., Manhattan, NY, 10011",Chelsea,Manhattan,Restaurants,American (Traditional),"Celebrate the World Cup with a $26 beer and pulled pork sandwich combo, and receive a limited-edition cup.",$26 Offers; Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-dicksons-farmstand-meats,,fbws
Essex Pearl,"New York, NY",Chelsea,Manhattan,Restaurants,Seafood,Get a souvenir cup for World Cup 2026 with eligible purchases at this seafood counter.,Limited Edition Cup,,https://www.essexpearl.com,https://www.nyctourism.com/offers/fbws-essex-pearl,,fbws
Fairfield Inn & Suites Chelsea,"New York, NY",Chelsea,Manhattan,Hotels,,Eligible clients will receive a World Cup limited-edition commemorative cup.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-fairfield-inn-suites-chelsea,,fbws
Flannery's Bar,,Chelsea,Manhattan,Bar,,,,,,,https://watchworldcup.nyc/venues/flannerys-bar,wwc
Fonda - Chelsea,"189 Ninth Ave., Manhattan, NY, 10011",Chelsea,Manhattan,Restaurants,Mexican,This Chelsea Mexican restaurant is offering $26 meal deals for World Cup 2026.,Limited Edition Cup; $26 Offers,,https://fondarestaurant.com,https://www.nyctourism.com/offers/fbws-fonda-chelsea,,fbws
German House of Soccer (DFB),,Chelsea,Manhattan,Cultural Center,,,,Germany,,,https://watchworldcup.nyc/venues/german-house-of-soccer,wwc
German House of Soccer (GHOS),"New York, NY",Chelsea,Manhattan,Restaurants,German,"The German House of Socce, a special pop-up fan zone, is offering $26 food-and-beer specials throughout the World Cup.",$26 Offers,,https://www.dfb.de/news-2/for-the-2026-world-cup-dfb-to-open-german-house-of-soccer-in-new-york,https://www.nyctourism.com/offers/fbws-german-house-of-soccer,,fbws
Glizzys NYC,"New York, NY",Chelsea,Manhattan,Restaurants,American (New),,$26 Offers,,https://glizzysnyc.co,https://www.nyctourism.com/offers/fbws-glizzys-nyc,,fbws
Hav & Mar,"New York, NY",Chelsea,Manhattan,Restaurants,American (New),"Celebrate the World Cup with a $26 drink and sandwich combo, and receive a limited-edition commemorative cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-hav-mar,,fbws
La Devozione,"75 Ninth Ave., Manhattan, NY, 10011",Chelsea,Manhattan,Restaurants,Italian,Celebrate the World Cup with La Devozione's Lollipop Di Macaroni paired with a drink and limited-edition souvenir cup for $26.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-la-devozione,,fbws
La Nacional,,Chelsea,Manhattan,Bar,,,,Spain,,,https://watchworldcup.nyc/venues/la-nacional,wwc
Lobster Place,"75 Ninth Ave., Manhattan, NY, 10011",Chelsea,Manhattan,Restaurants,Seafood,Celebrate World Cup 2026 with a seafood slider trio for $26 and $13 craft beer specials served in a commemorative cup.,$26 Offers; Limited Edition Cup,,https://www.lobsterplace.com,https://www.nyctourism.com/offers/fbws-lobster-place,,fbws
Milk and Hops,"New York, NY",Chelsea,Manhattan,Restaurants,Bars/Cocktails,"Score big during every World Cup match with this $26 special for two beers and a giant pretzel, and receive a souvenir cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-milk-and-hops,,fbws
Nuyores,"154 W. 13th St., Manhattan, NY, 10011",Chelsea,Manhattan,Restaurants,Peruvian,"For $26, celebrate the World Cup with one empanada and one Peruvian beer served in a limited-edition souvenir cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-nuyores,,fbws
Off Side Tavern,,Chelsea,Manhattan,Bar,,,,United States; England,,,https://watchworldcup.nyc/venues/off-side-tavern,wwc
Olde City,,Chelsea,Manhattan,Bar,,,,England,,,https://watchworldcup.nyc/venues/olde-city,wwc
Petite Abeille,,Chelsea,Manhattan,Restaurant,,,,Belgium,,,https://watchworldcup.nyc/venues/petite-abeille,wwc
Pier 57,"25 Eleventh Ave., Manhattan, NY, 10011",Chelsea,Manhattan,Restaurants,American (Traditional),Grab a World Cup commemorative cup at Pier 57's Market 57 food and drink vendors with eligible purchase.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-pier-57,,fbws
Pier 57,"25 Eleventh Ave., Manhattan, NY, 10011",Chelsea,Manhattan,Restaurants,Chinese,Score a commemorative cup with eligible purchases during the World Cup at this Chinese restaurant.,Limited Edition Cup,,https://www.nomwah.com/market-57,https://www.nyctourism.com/offers/fbws-nom-wah-at-market-57,,fbws
Pioneers Bar,,Chelsea,Manhattan,Bar,,,,,,,https://watchworldcup.nyc/venues/pioneers-bar,wwc
Sappeisan,"New York, NY",Chelsea,Manhattan,Restaurants,Thai,"Celebrate the World Cup with Thai-inspired Zaab chicken wings and beer for $26, and receive a limited-edition souvenir cup.",Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/fbws-sappeisan,,fbws
Smithfield Hall NYC,,Chelsea,Manhattan,Bar,,,,England; Scotland; Spain,,,https://watchworldcup.nyc/venues/smithfield-hall-nyc,wwc
Somewhere Nowhere NYC,"112 W. 25th St., fl. 38 & 39,Manhattan,10001,NY",Chelsea,Manhattan,Restaurants,Eclectic,Enjoy special cocktail deals at this hotel rooftop bar in Chelsea throughout World Cup 2026.,Limited Edition Cup; $26 Offers,,https://www.somewherenowherenyc.com,https://www.nyctourism.com/offers/fbws-somewhere-nowhere-nyc,,fbws
St. Paul's German Church,"New York, NY",Chelsea,Manhattan,Restaurants,,Attendees at Chelsea Music Festival's American Street Food Stories will receive a World Cup commemorative cup.,Limited Edition Cup,,,https://www.nyctourism.com/offers/fbws-american-street-food-stories,,fbws
Tea and Milk - Chelsea Market,"New York, NY",Chelsea,Manhattan,Restaurants,Coffeehouse,Receive a limited-edition commemorative souvenir cup with the purchase of any two large drinks.,Limited Edition Cup,,https://www.teaandmilk.com,https://www.nyctourism.com/offers/fbws-tea-and-milk-chelsea-market,,fbws
The Ainsworth Midtown,,Chelsea,Manhattan,Bar,,,,United States; England,,,https://watchworldcup.nyc/venues/the-ainsworth-midtown,wwc
The Canuck,,Chelsea,Manhattan,Bar,,,,Canada,,,https://watchworldcup.nyc/venues/the-canuck,wwc
Golden Diner,"New York, NY",Chinatown,Manhattan,Restaurants,,Enjoy a Mapo Chili Dog and beer shandy (served in a souvenir collectible cup) for $26.,Limited Edition Cup; $26 Offers,,,https://www.nyctourism.com/offers/world-cup-cuisine-form-golden-diner,,fbws
