Venue Name,Type,Neighborhood,Borough/Area,Location,Fan Countries,Description,Venue URL
11th Street Bar,Bar,East Village,Manhattan,"East Village, Manhattan",England,"Bar in East Village, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/11th-street-bar
4th Avenue Pub,Bar,Park Slope,Brooklyn,"Park Slope, Brooklyn",England,"Bar in Park Slope, Brooklyn; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/4th-avenue-pub
61 Local,Bar,Cobble Hill,Brooklyn,"Cobble Hill, Brooklyn",United States; England,"Bar in Cobble Hill, Brooklyn; listed as a World Cup watch venue for fans of United States; England.",https://watchworldcup.nyc/venues/61-local
Abistro (Brooklyn),Restaurant,Fort Greene,Brooklyn,"Fort Greene, Brooklyn",Senegal,"Restaurant in Fort Greene, Brooklyn; listed as a World Cup watch venue for fans of Senegal.",https://watchworldcup.nyc/venues/abistro-brooklyn
Accra Restaurant,Restaurant,Harlem,Manhattan,"Harlem, Manhattan",Ghana,"Restaurant in Harlem, Manhattan; listed as a World Cup watch venue for fans of Ghana.",https://watchworldcup.nyc/venues/accra-restaurant
Africa Kin�� Restaurant,Restaurant,Harlem,Manhattan,"Harlem, Manhattan",Senegal,"Restaurant in Harlem, Manhattan; listed as a World Cup watch venue for fans of Senegal.",https://watchworldcup.nyc/venues/africa-kin-restaurant
Allan's Bakery,Restaurant,Prospect Lefferts Gardens,Brooklyn,"Prospect Lefferts Gardens, Brooklyn",,"Restaurant in Prospect Lefferts Gardens, Brooklyn; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/allans-bakery
Amity Hall Downtown,Bar,Greenwich Village,Manhattan,"Greenwich Village, Manhattan",,"Bar in Greenwich Village, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/amity-hall-downtown
Amity Hall Uptown,Bar,Greenwich Village,Manhattan,"Greenwich Village, Manhattan",United States; England,"Bar in Greenwich Village, Manhattan; listed as a World Cup watch venue for fans of United States; England.",https://watchworldcup.nyc/venues/amity-hall-uptown
Amsterdam Ale House,Bar,Upper West Side,Manhattan,"Upper West Side, Manhattan",,"Bar in Upper West Side, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/amsterdam-ale-house
